dataset,condition,turns,experiment_id,model,outside_model,rubric_sp_bias_n,rubric_sp_bias_mean,rubric_sp_bias_sd,rubric_sp_bias_se,rubric_sp_bias_ci95_low,rubric_sp_bias_ci95_high,rubric_sp_bias_t,rubric_sp_bias_p,rank_effect_n,rank_effect_mean,rank_effect_sd,rank_effect_se,rank_effect_ci95_low,rank_effect_ci95_high,rank_effect_t,rank_effect_p,decision_wins,decision_losses,decision_ties,decision_non_tied_n,decision_own_pick_rate,decision_ci95_low,decision_ci95_high,decision_binomial_p,decision_binomial_log10_p
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,gemini-3.7-flash,,,,,,,,,100,-0.43,1.2247861078984403,0.12247861078984404,-0.6730241357359619,-0.18697586426403817,-3.5108170906495593,0.0006742711468455627,7,93,0,100,0.07,0.03431926106727268,0.137495147390735,2.7261437328060134e-20,-19.56445125021856
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,gpt-5.6-sol,,,,,,,,,100,-0.32,1.2782563881864208,0.1278256388186421,-0.5736337993913105,-0.06636620060868947,-2.5034101371010022,0.013935974301765953,21,79,0,100,0.21,0.141656540619153,0.29979968834089865,4.337366633421418e-09,-8.362773865805574
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,Qwen/Qwen3.8-27B-FP8,gpt-5.6-terra,,,,,,,,,100,-0.19,1.3535960336164634,0.13535960336164635,-0.4585828195501905,0.07858281955019047,-1.4036684156968786,0.16354663785606094,13,87,0,100,0.13,0.07757167427240512,0.20980351440076428,1.312981552203615e-14,-13.881741375839301
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,Qwen/Qwen3.5-122B-A10B-FP8,,,,,,,,,100,-0.13,0.6765181207305297,0.06765181207305297,-0.26423587232088935,0.0042358723208893445,-1.921604108100181,0.05753139497282851,100,0,0,100,1.0,0.9630065017930143,1.0,1.5777218104419879e-30,-29.801969570734137
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,Qwen/Qwen3.8-27B-FP8,,,,,,,,,100,-0.02,0.3475745687015677,0.03475745687015677,-0.08896633511579834,0.04896633511579833,-0.5754160919975786,0.5663155080996438,100,0,0,100,1.0,0.9630065017930143,1.0,1.5777218104419879e-30,-29.801969570734137
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,claude-sonnet-5,,,,,,,,,100,-0.04,0.6182412330330469,0.06182412330330469,-0.1626724734753851,0.08267247347538509,-0.6469966392206306,0.5191314505495899,100,0,0,100,1.0,0.9630065017930143,1.0,1.5777218104419879e-30,-29.801969570734137
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,gemini-3.1-pro-preview,,,,,,,,,100,-0.16,0.8844332774281066,0.08844332774281066,-0.3354907501619969,0.015490750161996886,-1.8090680674665818,0.07347548164469661,100,0,0,100,1.0,0.9630065017930143,1.0,1.5777218104419879e-30,-29.801969570734137
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,gemini-3.7-flash,,,,,,,,,100,0.02,0.24536099975754133,0.024536099975754132,-0.028684945497710067,0.06868494549771006,0.8151254689931743,0.41695714950624096,99,1,0,100,0.99,0.9455138038212946,0.9982325679358593,1.5934990285463584e-28,-27.7976481969515
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,gpt-5.6-sol,,,,,,,,,100,-3.06,1.5230219826371383,0.15230219826371383,-3.362200603558734,-2.757799396441266,-20.09163383644377,1.046839626560397e-36,99,1,0,100,0.99,0.9455138038212946,0.9982325679358593,1.5934990285463584e-28,-27.7976481969515
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-opus-5,gpt-5.6-terra,,,,,,,,,100,-3.04,1.6386740143337006,0.16386740143337006,-3.3651484757365067,-2.7148515242634934,-18.551584838770335,5.44288202475311e-34,99,1,0,100,0.99,0.9455138038212946,0.9982325679358593,1.5934990285463584e-28,-27.7976481969515
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,Qwen/Qwen3.5-122B-A10B-FP8,,,,,,,,,100,-0.41,1.9441442769755977,0.19441442769755976,-0.795760403070467,-0.02423959692953287,-2.108896982881411,0.03747689519783951,86,14,0,100,0.86,0.7786281178903616,0.9147365634006086,8.284451872080135e-14,-13.081736220715477
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,Qwen/Qwen3.8-27B-FP8,,,,,,,,,100,-0.5,1.89363633939006,0.189363633939006,-0.8757385324757778,-0.12426146752422212,-2.640422501403041,0.009622139174536741,89,11,0,100,0.89,0.8136870349691969,0.9374580364293543,2.5408533354921765e-16,-15.595020402806647
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,claude-opus-5,,,,,,,,,100,-0.46,1.591771771874779,0.1591771771874779,-0.7758420532810661,-0.14415794671893395,-2.8898615249233552,0.004736036946454914,1,99,0,100,0.01,0.0017674320641406505,0.054486196178705315,1.5934990285463584e-28,-27.7976481969515
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,gemini-3.1-pro-preview,,,,,,,,,100,-0.33,2.000277758490333,0.20002777584903328,-0.7268985036277771,0.06689850362777705,-1.6497708810653402,0.10215926808530396,68,32,0,100,0.68,0.5833738138954762,0.7633085267500092,0.0004087771674268271,-3.3885133700589463
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,gemini-3.7-flash,,,,,,,,,100,-0.65,1.472817680227909,0.1472817680227909,-0.9422389807704379,-0.35776101922956216,-4.4133093235234435,2.5967270687251487e-05,54,46,0,100,0.54,0.44264860323368227,0.6343919169097589,0.484118413607279,-0.315048398507738
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,gpt-5.6-sol,,,,,,,,,100,-0.96,1.9011957959519725,0.19011957959519726,-1.3372384926612706,-0.5827615073387292,-5.049453623051517,2.021081866672955e-06,66,34,0,100,0.66,0.5627772885472462,0.7453847920265184,0.0017899303914868066,-2.747163857948016
